id;title_ar;title_lat;description;sub_titles;requirement;duration;jhi_option;type;image_link;image_link_content_type;video_link;price;is_active;activate_at;is_confirmed;confirmed_at
1;duplexer;calmly;grub;mishandle mistime bottle;pace;7872;gah thoughtfully;false;../fake-data/blob/hipster.png;image/png;bulky colonialism;4489.5;false;2023-12-24;false;2023-12-24
2;cord gargantuan;but;retaliate while;athwart kissingly absentmindedly;metallic miserly helpfully;22123;rosy meanwhile surprisingly;false;../fake-data/blob/hipster.png;image/png;ouch;32106.5;true;2023-12-25;true;2023-12-25
3;an;lysine;brr;yet across;between century warmhearted;8863;only marvelous;true;../fake-data/blob/hipster.png;image/png;drat meanwhile warmly;11026.66;true;2023-12-25;true;2023-12-24
4;underneath defenseless courageous;bank;energetic importune;detest grouse;reset psst temperature;2915;dote;true;../fake-data/blob/hipster.png;image/png;gah whoever woot;3663.17;false;2023-12-24;true;2023-12-24
5;cheap er;badly;fang;baggage ha since;save scented save;6628;aw;false;../fake-data/blob/hipster.png;image/png;woot gigantic;29876.64;true;2023-12-25;true;2023-12-25
6;because outstay;ball supposing;woefully after noxious;burgle agile jubilantly;inwardly;22056;victim greatly gigantism;true;../fake-data/blob/hipster.png;image/png;officially separately;7564.66;false;2023-12-25;false;2023-12-24
7;beneath scope;rude;vast;healthily;passion vivaciously jaggedly;7725;failing authentic;true;../fake-data/blob/hipster.png;image/png;needily huzzah;10779.78;true;2023-12-24;false;2023-12-25
8;deliberately;tide predecessor ick;near whether glut;merry;than yet;25912;funny aw muddy;false;../fake-data/blob/hipster.png;image/png;including;28661.57;true;2023-12-25;false;2023-12-25
9;any in out;extra-large tantalise;alongside;inside klutzy;tough through walk;25448;spiffy upon;false;../fake-data/blob/hipster.png;image/png;old-fashioned grown victoriously;22223.03;true;2023-12-25;false;2023-12-25
10;onto thoroughly duh;flute initiative;however after mold;leash astride;however verbally;20485;scoot disallow heavy;false;../fake-data/blob/hipster.png;image/png;huzzah psst sans;8119.67;true;2023-12-24;true;2023-12-24
