id;name_ar;name_lat;description
1;um;regularly;sarcastic failing rabbi
2;crust willfully softly;complex;ill-informed metabolise yieldingly
3;extra-small er huzzah;scientific as;to
4;orchard now;pish worthy gee;painfully
5;unfold nor;complex a unfit;excepting yum
6;disparage mainstream article;for alarmed;urgently provided
7;focused oof unnatural;oof;hmph bleakly
8;close;seriously;considering meanwhile
9;as comfort once;modest wiggly;third
10;whoever meanwhile bravely;considering gravitas until;infiltration numb
