id;title;subject;detail;supervisor;grade;graduation_date;school
1;alongside kookily vice;reassuringly;sleepily sorrow rustle;naturalisation round;at indeed below;2023-12-25;swordfight low
2;boo chaff fawn;jewellery;come;upbeat rehome;rib;2023-12-24;gore throughout
3;zowie oval throughout;whoever longingly pointless;yet for;evenly astride;whose brace;2023-12-24;pride stonewall legitimate
4;architect off boo;outstanding aboard;oh following;shiny notwithstanding;odd forfend;2023-12-25;tango
5;beak insubstantial;yet;gosh zesty briskly;love properly although;pro foolishly;2023-12-25;worthy surface
6;forsaken;keenly needily dismal;ambitious;permit;quiche;2023-12-25;hector
7;whoever thorough;ew section ha;madly mmm;brightly behind;bath reign;2023-12-25;threadbare dictate feline
8;lean;stool;bribery furthermore fooey;inasmuch thunderous gambling;queasy;2023-12-24;correctly
9;roughly plain;hunter angle;jewel;gladiolus curvy;considerate;2023-12-24;truly fava
10;those weepy telephone;save library authorized;ick aw balloon;identity colon disinhibit;per;2023-12-25;demilitarize whenever lovingly
