id;is_active;activated_at;activated_by;enrolment_start_time;enrolemnt_end_time
1;true;2023-12-24T18:53:13;2023-12-24T23:05:05;2023-12-24T20:44:03;2023-12-25T09:34:33
2;false;2023-12-24T23:57:35;2023-12-25T00:20:41;2023-12-25T05:02:52;2023-12-24T17:02:31
3;true;2023-12-24T12:56:08;2023-12-24T22:54:20;2023-12-25T09:03:36;2023-12-25T01:58:56
4;false;2023-12-25T04:23:47;2023-12-24T22:11:58;2023-12-25T08:47:26;2023-12-25T00:14:21
5;true;2023-12-24T12:27:46;2023-12-24T13:57:36;2023-12-25T04:45:22;2023-12-24T13:13:52
6;true;2023-12-25T01:20:37;2023-12-24T20:02:04;2023-12-24T19:47:28;2023-12-24T18:36:51
7;true;2023-12-24T19:15:42;2023-12-24T13:22:25;2023-12-25T06:18:25;2023-12-25T10:14:58
8;false;2023-12-24T19:35:31;2023-12-25T07:08:43;2023-12-25T00:45:54;2023-12-25T03:54:26
9;false;2023-12-24T14:56:50;2023-12-25T10:07:39;2023-12-25T01:26:08;2023-12-25T10:44:19
10;true;2023-12-25T00:59:21;2023-12-24T18:21:46;2023-12-25T09:55:28;2023-12-25T00:24:05
