id;from_sourate;from_aya;to_sourate;to_aya;tilawa_type;notation;remarks
1;FATIHA;18652;AL3IMRAN;22832;HIFD;than until;whoever
2;BA9ARA;4872;FATIHA;14159;MORAJA3A;lumber amidst so;acidly furthermore
3;FATIHA;2281;BA9ARA;16669;HIFD;why;punctually solve phooey
4;BA9ARA;14086;FATIHA;4277;MORAJA3A;down;constant
5;BA9ARA;21702;FATIHA;8513;HIFD;bulldoze;prioritize suburban
6;FATIHA;11628;FATIHA;8820;IKHTIBAR;shady;wretched
7;AL3IMRAN;5916;BA9ARA;20033;MORAJA3A;attenuation through activist;in-joke gee figurine
8;FATIHA;17737;FATIHA;23000;HIFD;moody greed ick;gadzooks yahoo dissect
9;BA9ARA;13275;BA9ARA;28560;HIFD;naturally unwieldy;tomorrow underneath gentle
10;AL3IMRAN;16931;BA9ARA;19913;TILAWA;fervently via;yowza upward conditioner
