id;title;description;creation_date;manager
1;ew ugh;courageously;2023-12-25T07:46:40;17443
2;nor;utterly practitioner;2023-12-24T20:08:11;12806
3;apostrophise;ack;2023-12-24T15:42:33;10836
4;previous backspace steepen;easily unrealistic;2023-12-24T21:10:27;29568
5;before stink;insecure seriously;2023-12-24T22:46:46;85
6;likewise frightfully;though;2023-12-25T09:09:44;7904
7;mid archaeologist concerning;luminous;2023-12-24T15:24:27;15356
8;seriously;crisp past till;2023-12-25T05:30:30;6433
9;veneer regarding;sugar floor;2023-12-25T06:16:38;20669
10;glutamate dimly gee;minus zowie;2023-12-25T09:14:49;21586
