id;title_ar;title_lat;description
1;deeply;headquarters eek;downright voluntarily knowledgeably
2;which scary;where behind whiff;once though pish
3;before these;mmm huzzah rash;upward
4;enormously stiffen when;invent personality upon;identity friendship
5;movie;recoup mishit;enthusiastically flame
6;before bah;turbocharge at apt;yippee aha
7;spotless separately provided;since now per;whip imaginary
8;factor per;drag score;equal
9;till;whenever chard within;meh but meanwhile
10;aha;boatyard poise ah;flail insinuate
