id;payment_method;paied_by;mode;poof;poof_content_type;paid_at;amount;type;from_month;to_month;details
1;up oak;doubtfully enjoin rutabaga;quarrelsome excluding hail;../fake-data/blob/hipster.png;image/png;2023-12-25T10:01:33;revolt reset;ACTIVITY_FEES;10130;29001;../fake-data/blob/hipster.txt
2;bead;evaporation how;witter;../fake-data/blob/hipster.png;image/png;2023-12-25T09:07:39;soap slowly;REGISTER;11423;2405;../fake-data/blob/hipster.txt
3;precious overdue boo;meanwhile backup;which pressroom round;../fake-data/blob/hipster.png;image/png;2023-12-25T05:11:59;sedately gargantuan grumpy;REGISTER;686;18323;../fake-data/blob/hipster.txt
4;inoculate rabbi eek;chair ingratiate real;but tremendous ha;../fake-data/blob/hipster.png;image/png;2023-12-25T06:15:50;milky;REGISTER;3937;14757;../fake-data/blob/hipster.txt
5;ammunition fooey at;further render during;energetically continually;../fake-data/blob/hipster.png;image/png;2023-12-25T04:56:57;mayonnaise even;MONTHLY_FEES;4585;4527;../fake-data/blob/hipster.txt
6;profit the peppery;procurement;for;../fake-data/blob/hipster.png;image/png;2023-12-24T14:36:55;where despite;REGISTER;16729;14176;../fake-data/blob/hipster.txt
7;shear ford per;defeat reprimand for;gadzooks oof;../fake-data/blob/hipster.png;image/png;2023-12-24T18:54:26;like productive;REGISTER;16025;23743;../fake-data/blob/hipster.txt
8;default because at;sympathize;solemnize offend;../fake-data/blob/hipster.png;image/png;2023-12-25T00:50:52;a;REGISTER;12833;8073;../fake-data/blob/hipster.txt
9;guilt whorl;seemingly;onto hmph;../fake-data/blob/hipster.png;image/png;2023-12-24T17:39:18;focused factor majestically;MONTHLY_FEES;3869;14591;../fake-data/blob/hipster.txt
10;regret gadzooks shyly;than;frock gladly pfft;../fake-data/blob/hipster.png;image/png;2023-12-24T19:21:36;after;MONTHLY_FEES;17556;10722;../fake-data/blob/hipster.txt
