id;status;is_justified;justif_ref;late_arrival;early_departure;task_done;grade_1;description;task_start;task_end;task_step;progression_date
1;true;false;now;27473;15066;false;absent;forenenst angrily around;33;422;26999;2023-12-25
2;false;false;apud yet;13847;31980;false;reluctantly porcupine concrete;scary;89;89;7570;2023-12-25
3;false;false;buttery embezzle worth;16953;20738;true;keenly uselessly;behind deposit beach;363;64;24926;2023-12-24
4;false;false;anenst internal about;11267;9685;true;leach glitter;mop;307;480;12648;2023-12-25
5;false;true;prioritize justly whether;4586;25894;false;whose blush puzzled;modest selfishly luxury;223;58;12642;2023-12-25
6;false;true;blah following aside;27381;18493;false;daily metronome;lest;466;197;32269;2023-12-25
7;true;true;lest what squeaky;16434;17596;false;overconfidently willfully;tightly sticky vice;85;141;31845;2023-12-25
8;true;true;voluntarily;28336;22995;true;qua skirt;to near aside;225;323;24378;2023-12-25
9;true;true;wrist reheat dish;14837;30370;false;at picturize;foam well-made coaxingly;43;384;26129;2023-12-24
10;false;true;mid tear;13376;22522;true;to;uh-huh;189;457;24684;2023-12-25
