id;title_ar;title_lat;description;goals;requirement;image_link;image_link_content_type;video_link;budget;is_active;activate_at;start_date;end_date
1;yum;while now;outvote;unless;despite vaguely although;../fake-data/blob/hipster.png;image/png;instinct jubilantly including;26124.18;true;2023-12-24;2023-12-25;2023-12-25
2;quartet oh macadamia;vase coop hopelessly;subtle;until yahoo;tremendously;../fake-data/blob/hipster.png;image/png;even fooey violent;8338.41;true;2023-12-25;2023-12-25;2023-12-25
3;um;dependent astride;swath meh;wisely wherever;overload;../fake-data/blob/hipster.png;image/png;below but;27395.8;false;2023-12-25;2023-12-24;2023-12-25
4;once quartet;but ideal simulcast;ambition ew;brisket;untidy serialise;../fake-data/blob/hipster.png;image/png;why shy;19858.82;false;2023-12-25;2023-12-25;2023-12-24
5;blah near zowie;lined;agonize position characteristic;what;recent;../fake-data/blob/hipster.png;image/png;echo;14126.93;false;2023-12-25;2023-12-25;2023-12-24
6;lack coaxingly;wherever;neatly beyond artistic;down scarce;swiftly too;../fake-data/blob/hipster.png;image/png;gadzooks skeletal;1179.44;true;2023-12-25;2023-12-25;2023-12-25
7;huzzah of loan;ack;er set;merry mad;professional conditioner;../fake-data/blob/hipster.png;image/png;aha;21311.69;false;2023-12-25;2023-12-24;2023-12-24
8;properly brr clear-cut;popularise foolishly till;when ugh;cheerfully;plagiarism;../fake-data/blob/hipster.png;image/png;while;13955.58;false;2023-12-24;2023-12-25;2023-12-25
9;hm;including for highly;radio zany bony;delayed pfft;off assist;../fake-data/blob/hipster.png;image/png;little midst;32711.22;false;2023-12-25;2023-12-24;2023-12-25
10;crowd;linen er;empathize;hence;rash;../fake-data/blob/hipster.png;image/png;silver ew;21591.84;false;2023-12-24;2023-12-24;2023-12-25
