id;question;note;a_1;a_1_v;a_2;a_2_v;a_3;a_3_v;a_4;a_4_v;isactive;question_title;question_type;question_description;question_point;question_subject;question_status
1;realistic starry clarity;fry athwart handsome;aha;true;wrap;true;incorporate till gah;true;point plagiarism cultured;true;true;gadzooks too whenever;QUES_TYPE3;sate deployment;16343;haversack;made-up
2;er;pro ultimate shrilly;unlucky happily;false;in;true;abaft infantilise questioningly;true;above utter;true;true;modulo um skean;QUES_TYPE3;what;28868;between;which with
3;ha entire;wheeze;aha;true;duh which;false;alongside shallow psst;false;whenever buttery;true;false;rigidly oh;QUES_TYPE1;parched deconstruct elderly;11508;through proofread;besides icky
4;maul;furthermore;spouse given alias;true;gadzooks until internet;true;solidly;true;er although phooey;true;false;including false alloy;QUES_TYPE1;brake innocently;31223;furthermore;forestall import
5;ack supposing;chivvy fervently phew;present now barring;false;hurtful;true;annual;false;only;false;false;off famously;QUES_TYPE2;yippee;6196;yahoo restfully nor;understate what
6;internationalize;even;for oof;false;ouch;false;yahoo hm whereas;false;as;false;true;absent unto;QUES_TYPE3;slow;17058;even broadly;than constant woot
7;assign;during exotic;vanish ask;false;quietly auction;false;vainly helpfully;false;after sunbathe;false;true;ah;QUES_TYPE3;alert opportunity unless;10370;optimistically;alert merit gee
8;at fumigate;soldier meh yet;likewise yeast;false;merry enlightened;false;lest how;true;yuck macrame;false;true;orient hurricane regular;QUES_TYPE3;burly meh;23418;gerbil at delectable;hm
9;regularly;shrilly;wrong;false;verbally;false;flicker;true;but disembodiment standardization;true;false;why;QUES_TYPE1;growth;23476;opposite fuel after;despite
10;properly;speakerphone;abnormally;false;bitter have;false;gleeful eek than;false;extroverted;true;true;near;QUES_TYPE1;what warmly;1642;athwart;wrongly
