id;question_title;question_type;question_description;question_point;question_subject;question_status
1;match demonstrate retch;QUES_TYPE1;whereas how next;11933;boohoo;valid never schematise
2;toward offensively;QUES_TYPE2;juicy;26299;nice;consequently
3;completion;QUES_TYPE2;hmph deliberately;12276;foam rehearse;psst besides
4;really granola acknowledgment;QUES_TYPE1;consequently worriedly given;6243;furlough since inferior;voluntarily stopper
5;meh;QUES_TYPE2;submissive clamber fathom;24698;shoelace since;excess
6;behind;QUES_TYPE1;unpick distinguish;765;wholesaler sheepishly;silently
7;quizzically glittering;QUES_TYPE2;strictly;18974;bah blindly while;underneath
8;crawl revenue;QUES_TYPE3;afterwards;240;duh avoid besides;mockingly
9;zowie aside geez;QUES_TYPE1;hurtle absentmindedly;32546;gently beginning;past front vine
10;emboss;QUES_TYPE3;hm;25818;reactant slight;since
