id;title;description;session_start_time;session_end_time;is_active;session_size;price;currency;targeted_age;targeted_gender;thumbnail;thumbnail_content_type;planning_type;once_date;monday;tuesday;wednesday;thursday;friday;saturday;sanday;period_start_date;periode_end_date;no_periode_end_date
1;um nor;outgrow;2023-12-24T17:12:45;2023-12-24T18:33:15;false;4;2780.72;whoa;incidentally psst;true;../fake-data/blob/hipster.png;image/png;aromatic gosh well-groomed;2023-12-25T00:16:05;false;true;true;true;true;true;true;2023-12-25;2023-12-24;true
2;huzzah absent than;ha;2023-12-24T14:37:59;2023-12-24T20:28:05;false;88;28134.18;memorable whoever;afore;false;../fake-data/blob/hipster.png;image/png;standardize boo psst;2023-12-25T07:46:32;false;false;false;false;true;false;true;2023-12-24;2023-12-25;true
3;how price crossly;pfft;2023-12-25T02:31:23;2023-12-25T11:14:32;false;91;20322.51;consequently;badly woot separately;false;../fake-data/blob/hipster.png;image/png;smother attempt;2023-12-25T03:16:16;false;true;true;true;true;false;true;2023-12-25;2023-12-24;false
4;victoriously bourgeoisie how;fry;2023-12-24T20:05:49;2023-12-24T18:31:32;true;35;2670.73;fixed white;gadget shyly rare;true;../fake-data/blob/hipster.png;image/png;geranium;2023-12-24T20:04:59;false;false;false;false;true;false;true;2023-12-25;2023-12-25;false
5;along why versus;boo repulse beneath;2023-12-24T22:54:44;2023-12-24T22:03:08;false;16;3006.41;zowie eddy;or less clearly;false;../fake-data/blob/hipster.png;image/png;once circa;2023-12-25T05:14:24;false;true;false;false;true;true;false;2023-12-24;2023-12-25;true
6;about;aw;2023-12-24T15:02:57;2023-12-25T04:35:50;false;84;30748.73;mew;likewise whether towards;false;../fake-data/blob/hipster.png;image/png;perfumed gah afore;2023-12-25T08:33:45;false;false;false;true;false;false;false;2023-12-24;2023-12-24;false
7;now gosh;qua;2023-12-25T10:36:31;2023-12-25T08:19:52;false;17;13256.93;notwithstanding photographer violently;pillbox;true;../fake-data/blob/hipster.png;image/png;psst;2023-12-24T17:22:42;false;false;true;false;true;false;false;2023-12-25;2023-12-24;true
8;posset brain bouncy;utter;2023-12-24T15:27:23;2023-12-25T05:54:47;false;20;6349.31;mmm gosh till;oversee temporize without;true;../fake-data/blob/hipster.png;image/png;below;2023-12-25T04:32:54;true;true;false;true;false;true;true;2023-12-24;2023-12-24;true
9;lest;polarization;2023-12-25T09:01:47;2023-12-25T01:50:07;true;74;24220.49;ringed to parse;above;false;../fake-data/blob/hipster.png;image/png;inspect;2023-12-25T10:00:39;true;true;true;false;false;true;false;2023-12-25;2023-12-25;true
10;abandoned throughout;pace amused;2023-12-24T15:37:24;2023-12-25T08:09:49;true;88;22805.84;binoculars how around;woefully considering middleman;false;../fake-data/blob/hipster.png;image/png;because;2023-12-24T21:12:10;true;false;false;true;true;false;false;2023-12-24;2023-12-25;false
