id;name;description;website
1;fooey associate prioritise;misconstrue;yahoo carelessly minus
2;including hoarse;so;appropriate yesterday steel
3;ick;streamline ew;commuter thick
4;townhouse oh petty;wrongly before;reopen
5;boohoo;troop generously astride;as
6;aboard cilantro;furthermore coordinate;caring
7;compassionate pate liquid;daintily whereas;drat aside
8;rubbery rapidly from;joint finished;ugh ideal out
9;gladly;satisfied how;quicker helplessly opt
10;gee blah crunch;whoa ugh;deem pocket pace
