id;name_ar;name_lat;description;localisation
1;fluffy wasp viciously;precious whirlwind fleck;wampum deceivingly;aware
2;as geez;document less before;afore minnow zowie;frightened sniveling
3;wild but emotional;tether granular;warm;hake block underneath
4;gah whine;critique wonder sculpture;ah likewise;huzzah beautifully boo
5;huzzah doubtfully duh;midst hmph busily;palpitate colonial;soot ransack delightful
6;inside dearly;however;entertainment though incidentally;beside wherever
7;concrete liaise raiment;speedily;ascribe;quizzically lovingly
8;naturally joyfully likewise;authorized;mockingly lymphocyte across;thorough society
9;balaclava;lest intent;remake;ew coaxingly teeter
10;reskill whoever provided;upstage;jewelry;enthusiastically sans
