id;message;amount;start_date;end_date;is_always
1;spoof finally;8625.09;2023-12-25;2023-12-24;true
2;failing well-off;26804.41;2023-12-24;2023-12-24;true
3;pace;23839.93;2023-12-24;2023-12-24;false
4;freeze heavily;28035.75;2023-12-24;2023-12-25;true
5;carrier ha what;17812.18;2023-12-24;2023-12-24;false
6;minus;3903.45;2023-12-24;2023-12-25;true
7;from loosely;2887.72;2023-12-25;2023-12-24;false
8;once;5128.93;2023-12-25;2023-12-24;false
9;alienated tweet;435.85;2023-12-25;2023-12-25;true
10;aboard oof;2936.62;2023-12-25;2023-12-25;true
