id;title;description;justif_doc;justif_doc_content_type;date_ticket;date_process;processed
1;aha;thump;../fake-data/blob/hipster.png;image/png;2023-12-25T04:51:29;2023-12-24T16:40:46;false
2;distinction phooey meh;unnaturally;../fake-data/blob/hipster.png;image/png;2023-12-24T22:03:10;2023-12-25T05:25:05;true
3;circuit;which yippee whereas;../fake-data/blob/hipster.png;image/png;2023-12-25T00:55:25;2023-12-25T09:03:02;true
4;sometimes debase;gah till frolic;../fake-data/blob/hipster.png;image/png;2023-12-24T12:08:28;2023-12-24T22:14:18;false
5;consequently whether;bumpy;../fake-data/blob/hipster.png;image/png;2023-12-25T01:58:55;2023-12-25T10:50:29;true
6;jubilantly talkative trail;dead;../fake-data/blob/hipster.png;image/png;2023-12-24T14:57:54;2023-12-24T14:24:05;true
7;mmm;horror firsthand;../fake-data/blob/hipster.png;image/png;2023-12-25T01:26:46;2023-12-25T01:03:40;false
8;flit grove;shin unless;../fake-data/blob/hipster.png;image/png;2023-12-25T10:04:59;2023-12-25T05:02:58;false
9;er consequently clamor;underlie;../fake-data/blob/hipster.png;image/png;2023-12-24T22:22:34;2023-12-24T17:45:02;true
10;unto gee gnash;unto;../fake-data/blob/hipster.png;image/png;2023-12-25T08:01:58;2023-12-24T23:11:18;false
